cat,date,fcst
hw-30,2049-10-01,2146.8267210376403
hw-30,2049-11-01,2165.242185868399
hw-30,2049-12-01,2155.7130476125603
hw-30,2050-01-01,2156.4838178778605
hw-31,2048-02-01,9.435298897493224e-20
hw-31,2048-03-01,9.435298897493224e-20
hw-31,2048-04-01,9.435298897493224e-20
hw-31,2048-05-01,9.435298897493224e-20
hw-31,2048-06-01,9.435298897493224e-20
hw-31,2048-07-01,9.435298897493224e-20
hw-31,2048-08-01,9.435298897493224e-20
hw-31,2048-09-01,9.435298897493224e-20
hw-31,2048-10-01,9.435298897493224e-20
hw-31,2048-11-01,9.435298897493224e-20
hw-31,2048-12-01,9.435298897493224e-20
hw-31,2049-01-01,9.435298897493224e-20
hw-31,2049-02-01,9.435298897493224e-20
hw-31,2049-03-01,9.435298897493224e-20
hw-31,2049-04-01,9.435298897493224e-20
hw-31,2049-05-01,9.435298897493224e-20
hw-31,2049-06-01,9.435298897493224e-20
hw-31,2049-07-01,9.435298897493224e-20
hw-31,2049-08-01,9.435298897493224e-20
hw-31,2049-09-01,9.435298897493224e-20
hw-31,2049-10-01,9.435298897493224e-20
hw-31,2049-11-01,9.435298897493224e-20
hw-31,2049-12-01,9.435298897493224e-20
hw-31,2050-01-01,9.435298897493224e-20
hw-32,2048-02-01,2199.3787946581515
hw-32,2048-03-01,2186.709327613059
hw-32,2048-04-01,2193.1305894345337
hw-32,2048-05-01,2189.1459816349916
hw-32,2048-06-01,2193.6187614179603
hw-32,2048-07-01,2193.809186958987
hw-32,2048-08-01,2193.526264312286
hw-32,2048-09-01,2193.809186958987
hw-32,2048-10-01,2193.458926742855
hw-32,2048-11-01,2185.843953033438
hw-32,2048-12-01,2207.6398596356457
hw-32,2049-01-01,2207.4210813198306
hw-32,2049-02-01,2213.9720286980446
hw-32,2049-03-01,2206.4876622901184
hw-32,2049-04-01,2213.0386096683324
hw-32,2049-05-01,2206.4876622901184
hw-32,2049-06-01,2175.0911460440057
hw-32,2049-07-01,2192.869290422892
hw-32,2049-08-01,2208.9791139308963
hw-32,2049-09-01,2199.483824981351
hw-32,2049-10-01,2191.3567650030245
hw-32,2049-11-01,2195.41498125577
hw-32,2049-12-01,2209.358874101216
hw-32,2050-01-01,2206.0288545851095
well-1,2048-02-01,1718.0480666447581
well-1,2048-03-01,1716.1939508767307
well-1,2048-04-01,1708.789175898025
well-1,2048-05-01,1713.2523729988013
well-1,2048-06-01,1677.1644863024437
well-1,2048-07-01,1626.6313082436432
well-1,2048-08-01,1626.8377804037027
well-1,2048-09-01,1626.669923579209
well-1,2048-10-01,1619.2352917110552
well-1,2048-11-01,1615.1489119250136
well-1,2048-12-01,1643.887852742301
well-1,2049-01-01,1652.8402453183298
well-1,2049-02-01,1668.314249277984
well-1,2049-03-01,1667.3892377955503
well-1,2049-04-01,1665.556907259118
well-1,2049-05-01,1665.556907259118
well-1,2049-06-01,1669.412284321218
well-1,2049-07-01,1665.3296128624083
well-1,2049-08-01,1675.2945756895765
well-1,2049-09-01,1670.435540007823
well-1,2049-10-01,1665.7789061581993
well-1,2049-11-01,1672.432909831206
well-1,2049-12-01,1674.8386225365045
well-1,2050-01-01,1674.5688643137585
well-10,2048-02-01,1105.063125467142
well-10,2048-03-01,1105.7994694316067
well-10,2048-04-01,1110.3244191647782
well-10,2048-05-01,1110.7373404453474
well-10,2048-06-01,1126.833787999451
well-10,2048-07-01,1127.4551406457244
well-10,2048-08-01,1127.4303027261526
well-10,2048-09-01,1127.6988488260072
