cat,date,fcst
well-104,2049-05-01,428.25
well-104,2049-06-01,431.1
well-104,2049-07-01,426.28
well-104,2049-08-01,430.64
well-104,2049-09-01,427.62
well-104,2049-10-01,430.94
well-104,2049-11-01,430.94
well-104,2049-12-01,422.89
well-104,2050-01-01,424.96
well-105,2048-02-01,2365.61
well-105,2048-03-01,2369.23
well-105,2048-04-01,2389.63
well-105,2048-05-01,2382.54
well-105,2048-06-01,2402.33
well-105,2048-07-01,2383.79
well-105,2048-08-01,2388.47
well-105,2048-09-01,2367.91
well-105,2048-10-01,2392.07
well-105,2048-11-01,2392.97
well-105,2048-12-01,2414.24
well-105,2049-01-01,2413.77
well-105,2049-02-01,2408.56
well-105,2049-03-01,2422.78
well-105,2049-04-01,2422.78
well-105,2049-05-01,2415.18
well-105,2049-06-01,2421.72
well-105,2049-07-01,2419.55
well-105,2049-08-01,2452.02
well-105,2049-09-01,2458.27
well-105,2049-10-01,2482.46
well-105,2049-11-01,2468.15
well-105,2049-12-01,2448.08
well-105,2050-01-01,2449.33
well-106,2048-02-01,617.73
well-106,2048-03-01,605.02
well-106,2048-04-01,620.11
well-106,2048-05-01,617.92
well-106,2048-06-01,617.92
well-106,2048-07-01,597.46
well-106,2048-08-01,618.27
well-106,2048-09-01,620.26
well-106,2048-10-01,617.55
well-106,2048-11-01,639.02
well-106,2048-12-01,635.37
well-106,2049-01-01,641.04
well-106,2049-02-01,633.07
well-106,2049-03-01,638.96
well-106,2049-04-01,633.07
well-106,2049-05-01,644.67
well-106,2049-06-01,641.14
well-106,2049-07-01,641.6
well-106,2049-08-01,659.08
well-106,2049-09-01,682.76
well-106,2049-10-01,695.08
well-106,2049-11-01,683.09
well-106,2049-12-01,706.77
well-106,2050-01-01,704.82
well-107,2048-02-01,735.19
well-107,2048-03-01,735.23
well-107,2048-04-01,735.19
well-107,2048-05-01,742.65
well-107,2048-06-01,743.17
well-107,2048-07-01,744.66
well-107,2048-08-01,742.71
well-107,2048-09-01,744.8
well-107,2048-10-01,747.16
well-107,2048-11-01,750.81
well-107,2048-12-01,746.39
well-107,2049-01-01,744.66
well-107,2049-02-01,746.23
well-107,2049-03-01,744.73
well-107,2049-04-01,760.54
well-107,2049-05-01,760.42
well-107,2049-06-01,768.86
well-107,2049-07-01,763.63
well-107,2049-08-01,757.66
well-107,2049-09-01,766.77
well-107,2049-10-01,758.12
well-107,2049-11-01,750.43
well-107,2049-12-01,749.4
well-107,2050-01-01,748.43
well-108,2048-02-01,687.09
well-108,2048-03-01,684.65
well-108,2048-04-01,689.78
well-108,2048-05-01,691.88
well-108,2048-06-01,698.5
well-108,2048-07-01,698.55
well-108,2048-08-01,698.55
well-108,2048-09-01,697.79
well-108,2048-10-01,696.13
well-108,2048-11-01,695.3
well-108,2048-12-01,706.43
well-108,2049-01-01,696.08
